Location,Number of Cows,Farm Size,Product Name,Brand,Price per Unit,Quantity (liters/kg),Total Value,Shelf Life (days),Storage Condition,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Delhi,75,Small,Yogurt,Amul,41.65,133.91,5577.3515,26,Refrigerated,125,39.83,4978.75,Delhi,Wholesale,8,89.18,24.85
Telangana,54,Small,Butter,Parag Milk Foods,58.71,350.17,20558.4807,33,Refrigerated,240,60.83,14599.2,Delhi,Wholesale,110,93.4,41.69
Kerala,56,Large,Milk,Mother Dairy,76.35,346.73,26472.8355,1,Polythene Packet,154,75.68,11654.72,Gujarat,Retail,192,35.25,186.73
Kerala,21,Medium,Lassi,Sudha,89.91,749.63,67399.2333,14,Refrigerated,391,93.94,36730.54,Maharashtra,Online,358,53.74,138.47
Gujarat,23,Large,Yogurt,Dodla Dairy,37.08,23.73,879.9084,29,Refrigerated,7,33.06,231.42,Rajasthan,Wholesale,16,99.85,48.41
Jharkhand,43,Small,Ghee,Mother Dairy,63.31,614.42,38898.9302,87,Ambient,94,64.96,6106.24,Chandigarh,Retail,520,25.3,146.39
Tamil Nadu,40,Small,Buttermilk,Mother Dairy,78.11,664.89,51934.5579,11,Refrigerated,516,77.94,40217.04,Delhi,Wholesale,148,32.95,134.9
Delhi,79,Medium,Paneer,Raj,80.86,245.11,19819.5946,9,Refrigerated,103,77.08,7939.24,Tamil Nadu,Retail,142,58.29,149.6
Gujarat,16,Large,Paneer,Sudha,15.35,9.22,141.527,13,Refrigerated,4,15.62,62.48,Chandigarh,Wholesale,5,70.88,54.03
Kerala,43,Large,Cheese,Britannia Industries,26.04,167.06,4350.2424,72,Frozen,62,29.41,1823.42,Uttar Pradesh,Retail,105,92.45,89.84
Tamil Nadu,71,Large,Cheese,Passion Cheese,82.34,945.46,77849.1764,42,Frozen,887,83.11,73718.57,Chandigarh,Retail,58,32.58,23.88
Jharkhand,99,Medium,Buttermilk,Sudha,61.7,632.82,39044.994,12,Refrigerated,1,59.92,59.92,Madhya Pradesh,Wholesale,631,63.51,49.15
Chandigarh,40,Medium,Butter,Parag Milk Foods,37.38,519.7,19426.386,39,Refrigerated,450,32.53,14638.5,Bihar,Wholesale,69,61.84,171.67
Tamil Nadu,81,Medium,Curd,Mother Dairy,23.12,586.14,13551.5568,6,Refrigerated,549,18.36,10079.64,Maharashtra,Retail,37,95.9,54.9
Gujarat,77,Small,Lassi,Amul,95.09,7.02,667.5318,13,Refrigerated,6,97.72,586.32,Karnataka,Retail,1,10.64,86.36
Uttar Pradesh,34,Small,Curd,Sudha,16.31,137.79,2247.3549,7,Refrigerated,33,18.44,608.52,Kerala,Retail,104,21.26,153.36
Jharkhand,10,Small,Paneer,Sudha,66.79,208.39,13918.3681,12,Refrigerated,20,62,1240,Rajasthan,Online,188,46.49,168.75
Kerala,69,Medium,Milk,Raj,10.53,345.55,3638.6415,28,Tetra Pack,84,6.87,577.08,Bihar,Online,261,98.35,155.33
Gujarat,31,Medium,Yogurt,Dodla Dairy,94.46,496.91,46938.1186,28,Frozen,452,94.12,42542.24,Madhya Pradesh,Retail,44,66.01,114.03
Madhya Pradesh,53,Medium,Curd,Mother Dairy,97.52,792.65,77299.228,7,Refrigerated,438,93.58,40988.04,Jharkhand,Retail,354,69.31,70.56
Rajasthan,85,Large,Cheese,Amul,47.93,253.49,12149.7757,73,Refrigerated,107,46.43,4968.01,Bihar,Online,146,42.95,55.2
Delhi,100,Large,Ghee,Amul,72.07,271.83,19590.7881,121,Ambient,60,73.78,4426.8,Madhya Pradesh,Retail,211,19.21,51.9
Maharashtra,18,Large,Ghee,Raj,36.57,835.07,30538.5099,132,Ambient,309,32.12,9925.08,Karnataka,Retail,526,12.28,32.49
West Bengal,97,Large,Curd,Mother Dairy,72.89,933.88,68070.5132,6,Refrigerated,725,74.92,54317,Chandigarh,Wholesale,208,41.24,49.66
West Bengal,96,Large,Milk,Raj,33.2,274.46,9112.072,28,Tetra Pack,250,30.96,7740,Jharkhand,Online,24,71.11,165.85
Maharashtra,95,Medium,Ice Cream,Mother Dairy,40.01,702.01,28087.4201,28,Frozen,656,41.95,27519.2,West Bengal,Online,46,36.57,117.21
Uttar Pradesh,32,Large,Butter,Warana,96.75,916.21,88643.3175,34,Frozen,178,96.21,17125.38,Uttar Pradesh,Online,738,45.26,118.81
Chandigarh,34,Medium,Yogurt,Palle2patnam,39.76,727.52,28926.1952,24,Frozen,300,37.65,11295,Chandigarh,Retail,427,60.17,76.54
Kerala,100,Medium,Ghee,Amul,49.29,253.65,12502.4085,91,Ambient,1,50.21,50.21,Maharashtra,Retail,252,90.41,147.38
Haryana,43,Medium,Buttermilk,Mother Dairy,91.75,712.46,65368.205,7,Refrigerated,649,89.45,58053.05,Haryana,Wholesale,63,25.21,37.95
Jharkhand,28,Medium,Yogurt,Dodla Dairy,89.03,732.04,65173.5212,23,Frozen,417,90.03,37542.51,Tamil Nadu,Wholesale,315,58.85,153.46
Haryana,100,Large,Yogurt,Palle2patnam,53.12,973.39,51706.4768,21,Frozen,326,54.18,17662.68,Telangana,Wholesale,647,87.75,159.12
Uttar Pradesh,21,Small,Cheese,Britannia Industries,98.76,103.56,10227.5856,42,Refrigerated,31,99.8,3093.8,Kerala,Wholesale,72,42.37,130.98
Karnataka,43,Small,Ghee,Sudha,95.26,923.86,88006.9036,68,Ambient,877,92.76,81350.52,Bihar,Wholesale,46,70.88,133.03
Bihar,58,Large,Yogurt,Palle2patnam,19.24,896.79,17254.2396,29,Refrigerated,1,19.66,19.66,Tamil Nadu,Wholesale,895,38.93,189.57
Delhi,58,Large,Butter,Warana,74.68,236.79,17683.4772,27,Refrigerated,134,77.59,10397.06,Kerala,Retail,102,43.11,172.93
Telangana,63,Large,Butter,Mother Dairy,43.77,656.31,28726.6887,28,Frozen,586,45.26,26522.36,West Bengal,Wholesale,70,27.57,185.34
Madhya Pradesh,29,Large,Paneer,Mother Dairy,77.25,642.56,49637.76,9,Refrigerated,224,72.58,16257.92,Delhi,Wholesale,418,75.73,20.76
West Bengal,17,Small,Ice Cream,Mother Dairy,35.43,812.02,28769.8686,27,Frozen,36,37.36,1344.96,Kerala,Retail,776,60.19,87.08
Chandigarh,30,Small,Butter,Amul,35.35,905.1,31995.285,29,Frozen,128,30.54,3909.12,Madhya Pradesh,Retail,777,18.8,83.87
Haryana,91,Medium,Ghee,Mother Dairy,90.98,261.52,23793.0896,93,Ambient,108,87.64,9465.12,West Bengal,Online,153,16.87,115.9
Chandigarh,46,Small,Butter,Amul,97.42,623.03,60695.5826,38,Frozen,373,95,35435,Kerala,Retail,250,72.13,73.73
Bihar,23,Small,Milk,Mother Dairy,93.26,978.15,91222.269,23,Tetra Pack,2,91.91,183.82,Jharkhand,Wholesale,976,87.27,122.14
Kerala,41,Medium,Ice Cream,Palle2patnam,61.13,570,34844.1,28,Frozen,443,56.73,25131.39,Telangana,Wholesale,127,36.44,132.31
Chandigarh,68,Small,Lassi,Sudha,98.18,209.5,20568.71,12,Refrigerated,80,93.19,7455.2,Delhi,Wholesale,129,61.02,196.2
West Bengal,43,Small,Curd,Amul,26.02,823.85,21436.577,7,Refrigerated,185,25.18,4658.3,Kerala,Online,638,22.94,146.74
Madhya Pradesh,93,Medium,Curd,Sudha,14.94,864.01,12908.3094,7,Refrigerated,48,10.4,499.2,Chandigarh,Retail,816,23.86,38.11
Delhi,31,Small,Ghee,Raj,16.21,246.47,3995.2787,62,Ambient,33,18.92,624.36,Maharashtra,Retail,213,66.64,180.64
Maharashtra,50,Small,Lassi,Raj,80.44,165.3,13296.732,18,Refrigerated,106,78.62,8333.72,Gujarat,Wholesale,59,70.75,114.91
Madhya Pradesh,16,Medium,Cheese,Dynamix Dairies,51.5,824.57,42465.355,57,Refrigerated,495,54.88,27165.6,Karnataka,Wholesale,329,53.93,66.08
Tamil Nadu,62,Medium,Ghee,Sudha,36.33,588.83,21392.1939,148,Ambient,261,40.65,10609.65,Tamil Nadu,Retail,327,54.52,58.77
Kerala,89,Small,Ice Cream,Palle2patnam,61.4,145.15,8912.21,24,Frozen,25,59.23,1480.75,Telangana,Online,120,51,162.44
Chandigarh,70,Medium,Lassi,Sudha,93.59,966.89,90491.2351,13,Refrigerated,360,97.2,34992,Maharashtra,Online,606,25.69,153.83
Rajasthan,73,Medium,Curd,Mother Dairy,12.59,589.56,7422.5604,6,Refrigerated,282,15.14,4269.48,Chandigarh,Retail,307,31.69,99.76
Rajasthan,20,Small,Cheese,Dynamix Dairies,49.24,322.37,15873.4988,52,Refrigerated,275,49.9,13722.5,Kerala,Wholesale,47,60.46,145.94
Delhi,56,Medium,Paneer,Mother Dairy,95.69,500.21,47865.0949,9,Refrigerated,384,97.97,37620.48,Karnataka,Online,116,80.87,38.88
Madhya Pradesh,71,Medium,Ice Cream,Mother Dairy,75.69,355.4,26900.226,30,Frozen,116,72.41,8399.56,Maharashtra,Retail,239,65.49,42.61
Gujarat,28,Small,Buttermilk,Sudha,15.81,410.88,6496.0128,12,Refrigerated,160,14.04,2246.4,Chandigarh,Online,250,60.51,65.84
Chandigarh,22,Large,Butter,Parag Milk Foods,20.01,695.34,13913.7534,31,Refrigerated,86,22.8,1960.8,Tamil Nadu,Retail,609,15.01,100.19
Chandigarh,43,Small,Buttermilk,Sudha,72.73,807.1,58700.383,13,Refrigerated,81,75.24,6094.44,Haryana,Wholesale,726,18.8,129.1
Karnataka,87,Large,Curd,Mother Dairy,61.02,959.03,58520.0106,6,Refrigerated,56,62.33,3490.48,Chandigarh,Retail,903,78.38,148.86
Haryana,73,Large,Cheese,Passion Cheese,64.84,137.95,8944.678,82,Refrigerated,99,62.02,6139.98,Gujarat,Online,38,53.04,170.39
Uttar Pradesh,45,Medium,Buttermilk,Sudha,46.9,848.45,39792.305,11,Refrigerated,284,50.7,14398.8,Madhya Pradesh,Online,564,25.06,39.23
Rajasthan,38,Small,Yogurt,Dodla Dairy,86.65,617.19,53479.5135,28,Frozen,144,83.82,12070.08,Jharkhand,Retail,473,12.71,131.48
Telangana,13,Large,Curd,Sudha,60.23,935.58,56349.9834,5,Refrigerated,526,58.79,30923.54,Delhi,Retail,409,73.04,156.73
Rajasthan,78,Small,Butter,Warana,62.23,205.27,12773.9521,33,Frozen,185,62.63,11586.55,Delhi,Online,20,18.5,96.06
Chandigarh,53,Small,Lassi,Raj,10.03,37.52,376.3256,14,Refrigerated,10,11.43,114.3,Delhi,Wholesale,27,86.98,49.67
Kerala,27,Small,Buttermilk,Sudha,93.9,831.73,78099.447,11,Refrigerated,604,98.68,59602.72,Delhi,Wholesale,227,35.7,175.36
West Bengal,29,Large,Butter,Parag Milk Foods,84.96,85.49,7263.2304,35,Frozen,67,83.06,5565.02,Karnataka,Retail,18,74.62,46.68
Madhya Pradesh,98,Large,Butter,Warana,58.42,367.29,21457.0818,37,Frozen,218,63.41,13823.38,Tamil Nadu,Retail,149,17.14,67.45
Gujarat,49,Large,Buttermilk,Raj,97.39,268.12,26112.2068,7,Refrigerated,228,101.5,23142,Bihar,Retail,40,98.33,191.93
Telangana,89,Large,Yogurt,Mother Dairy,28.84,111.62,3219.1208,23,Refrigerated,76,27.5,2090,Maharashtra,Online,35,45.83,80.2
Jharkhand,24,Medium,Yogurt,Palle2patnam,32.27,173.03,5583.6781,30,Frozen,131,32.64,4275.84,Haryana,Online,42,10.63,46.14
Tamil Nadu,33,Medium,Buttermilk,Raj,80.33,705.8,56696.914,13,Refrigerated,402,83.9,33727.8,Rajasthan,Wholesale,303,44.57,81.1
Delhi,14,Small,Butter,Parag Milk Foods,91.66,15.11,1384.9826,32,Refrigerated,2,88.71,177.42,Chandigarh,Retail,13,67.92,132.91
West Bengal,96,Small,Milk,Mother Dairy,20.36,129.7,2640.692,1,Polythene Packet,2,21.61,43.22,Bihar,Wholesale,127,43.32,57.13
Karnataka,57,Large,Milk,Mother Dairy,76.1,317.62,24170.882,1,Polythene Packet,274,75.85,20782.9,Delhi,Online,43,96.27,108.06
Rajasthan,33,Medium,Lassi,Raj,39.05,459.81,17955.5805,15,Refrigerated,400,43.75,17500,Gujarat,Retail,59,54.93,54.05
Rajasthan,49,Medium,Lassi,Raj,31.51,722.56,22767.8656,12,Refrigerated,243,29.14,7081.02,Chandigarh,Wholesale,479,60.47,127.22
Madhya Pradesh,20,Large,Milk,Mother Dairy,60.07,197.4,11857.818,23,Tetra Pack,69,60.41,4168.29,Chandigarh,Retail,128,62.2,29.82
Karnataka,80,Medium,Yogurt,Amul,20.51,162.68,3336.5668,24,Frozen,94,16.64,1564.16,Chandigarh,Wholesale,68,42.84,158.09
Kerala,30,Small,Curd,Sudha,65.55,732.05,47985.8775,6,Refrigerated,312,63.7,19874.4,Madhya Pradesh,Retail,420,32.36,145.45
Telangana,96,Large,Ice Cream,Mother Dairy,34.75,55.95,1944.2625,27,Frozen,42,31.8,1335.6,Delhi,Retail,13,24.62,194.18
Tamil Nadu,62,Medium,Ice Cream,Dodla Dairy,43.12,652.94,28154.7728,24,Frozen,221,46.79,10340.59,Chandigarh,Wholesale,431,76.15,108.54
Delhi,19,Small,Butter,Mother Dairy,12.39,848.92,10518.1188,25,Frozen,25,11.47,286.75,Telangana,Wholesale,823,67.33,22.72
Maharashtra,46,Large,Lassi,Raj,22.06,227.38,5016.0028,12,Refrigerated,116,24.29,2817.64,Chandigarh,Online,111,84.72,106.35
Tamil Nadu,67,Small,Milk,Mother Dairy,21.56,689.35,14862.386,2,Polythene Packet,101,22.37,2259.37,Gujarat,Online,588,74.84,134.97
West Bengal,85,Large,Ghee,Mother Dairy,77.27,39.5,3052.165,127,Ambient,24,81.83,1963.92,Gujarat,Wholesale,15,43.02,198.16
West Bengal,31,Small,Lassi,Mother Dairy,93.59,692.65,64825.1135,12,Refrigerated,387,95.9,37113.3,Chandigarh,Retail,305,74.32,120.75
Karnataka,12,Large,Curd,Sudha,10.64,389.06,4139.5984,5,Refrigerated,57,5.94,338.58,Telangana,Wholesale,332,28.67,169.03
Telangana,72,Small,Paneer,Sudha,88.1,318.52,28061.612,13,Refrigerated,15,83.75,1256.25,Maharashtra,Retail,303,60.39,181.64
Madhya Pradesh,21,Large,Paneer,Amul,56.6,373.3,21128.78,14,Refrigerated,264,58.8,15523.2,Delhi,Wholesale,109,48.92,162.99
Haryana,52,Medium,Yogurt,Mother Dairy,14.05,899.27,12634.7435,29,Frozen,413,16.72,6905.36,Bihar,Wholesale,486,91.17,110.07
Haryana,72,Small,Buttermilk,Amul,95.08,368,34989.44,8,Refrigerated,325,98.84,32123,Chandigarh,Retail,43,74.92,149.92
Jharkhand,76,Large,Curd,Sudha,66.01,879.54,58058.4354,5,Refrigerated,531,63.73,33840.63,Chandigarh,Online,348,82.36,82.27
Telangana,26,Medium,Buttermilk,Mother Dairy,32.92,96.62,3180.7304,14,Refrigerated,36,35.81,1289.16,West Bengal,Online,60,46.91,70.84
Telangana,91,Large,Buttermilk,Mother Dairy,88.12,302.02,26614.0024,13,Refrigerated,168,89.02,14955.36,Haryana,Retail,134,57.22,144.06
Delhi,31,Small,Ghee,Amul,27.4,358.6,9825.64,145,Ambient,105,27.84,2923.2,Tamil Nadu,Wholesale,253,38.2,148.72
Delhi,12,Medium,Ice Cream,Amul,99.73,584.89,58331.0797,22,Frozen,457,97.64,44621.48,Maharashtra,Retail,127,50.98,73.75
Telangana,94,Medium,Milk,Amul,70.98,216.75,15384.915,1,Polythene Packet,189,70.19,13265.91,Jharkhand,Online,27,66.78,159.31
Delhi,68,Large,Paneer,Amul,60.98,351.37,21426.5426,14,Refrigerated,97,63.06,6116.82,Maharashtra,Retail,254,11.67,40.81
Bihar,68,Large,Butter,Mother Dairy,23.32,988.47,23051.1204,26,Refrigerated,823,25.47,20961.81,Haryana,Online,165,19.65,47.74
Bihar,83,Small,Butter,Amul,75.56,714.97,54023.1332,37,Frozen,287,76.42,21932.54,Delhi,Retail,427,41.49,106.19
Chandigarh,13,Medium,Milk,Amul,78.37,405.67,31792.3579,24,Tetra Pack,102,80.19,8179.38,Chandigarh,Wholesale,303,52.85,155.97
Haryana,78,Small,Curd,Raj,40.14,638.16,25615.7424,6,Refrigerated,620,44.73,27732.6,Uttar Pradesh,Online,18,97.02,58.76
Rajasthan,37,Large,Lassi,Amul,48.64,144.1,7009.024,17,Refrigerated,70,50.66,3546.2,Chandigarh,Online,74,39.78,32.96
Bihar,28,Large,Milk,Amul,58.07,957.37,55594.4759,27,Tetra Pack,401,58.6,23498.6,West Bengal,Retail,556,63.39,151.89
Uttar Pradesh,91,Medium,Ice Cream,Mother Dairy,74.62,391.29,29198.0598,28,Frozen,244,78.44,19139.36,Chandigarh,Wholesale,147,45.19,32.24
Karnataka,39,Medium,Buttermilk,Mother Dairy,52.2,97.23,5075.406,11,Refrigerated,25,52.06,1301.5,Karnataka,Retail,72,72.82,164.18
Delhi,17,Large,Buttermilk,Sudha,10.5,347.25,3646.125,13,Refrigerated,7,11.57,80.99,Tamil Nadu,Wholesale,340,73.37,174.36
Karnataka,97,Medium,Ghee,Raj,89.95,160.94,14476.553,63,Ambient,155,94.83,14698.65,Bihar,Retail,5,15.38,150.91
Haryana,11,Large,Curd,Amul,91.29,367.61,33559.1169,5,Refrigerated,1,92.25,92.25,West Bengal,Wholesale,366,85.69,74.43
Jharkhand,34,Large,Milk,Sudha,11.34,16.79,190.3986,2,Polythene Packet,14,14.64,204.96,Jharkhand,Wholesale,2,26.58,73.72
Uttar Pradesh,41,Small,Ice Cream,Palle2patnam,74.04,228.94,16950.7176,26,Frozen,121,71.53,8655.13,Kerala,Online,107,64.47,141.26
Rajasthan,64,Medium,Paneer,Mother Dairy,13.46,942.65,12688.069,14,Refrigerated,808,10.4,8403.2,Bihar,Wholesale,134,48.85,39.19
Karnataka,60,Large,Ice Cream,Amul,62.3,392.61,24459.603,21,Frozen,329,62.05,20414.45,Maharashtra,Retail,63,33.65,21.03
Telangana,72,Large,Paneer,Sudha,90.97,302.17,27488.4049,14,Refrigerated,159,94.83,15077.97,West Bengal,Online,143,27.08,166.99
Maharashtra,59,Small,Paneer,Sudha,27.5,672.18,18484.95,14,Refrigerated,585,31.99,18714.15,Uttar Pradesh,Wholesale,87,19.1,61.07
Jharkhand,32,Large,Lassi,Sudha,43.29,552.74,23928.1146,14,Refrigerated,234,39.89,9334.26,Chandigarh,Retail,318,90.09,186.53
West Bengal,69,Large,Paneer,Raj,27.69,663.14,18362.3466,12,Refrigerated,146,31.88,4654.48,Bihar,Wholesale,517,11.64,25.87
Bihar,74,Medium,Buttermilk,Mother Dairy,16.7,916.81,15310.727,11,Refrigerated,632,18.62,11767.84,Maharashtra,Wholesale,284,26.61,196.08
Chandigarh,69,Small,Paneer,Mother Dairy,62.95,922.11,58046.8245,12,Refrigerated,233,65.58,15280.14,Haryana,Retail,689,86.81,117.15
Maharashtra,94,Small,Yogurt,Palle2patnam,94.88,15.29,1450.7152,23,Frozen,6,90.82,544.92,Haryana,Wholesale,9,14.59,68.2
Haryana,27,Small,Curd,Sudha,51.92,800.47,41560.4024,6,Refrigerated,547,49.26,26945.22,West Bengal,Retail,253,53.63,139.46
Gujarat,58,Large,Curd,Mother Dairy,16.35,584.77,9560.9895,7,Refrigerated,77,14.03,1080.31,Haryana,Retail,507,77.72,193.33
Bihar,83,Large,Yogurt,Amul,14.98,48.5,726.53,21,Refrigerated,23,14.53,334.19,Delhi,Retail,25,36.99,105.92
Chandigarh,36,Small,Yogurt,Dodla Dairy,63.31,992.4,62828.844,29,Frozen,861,59.42,51160.62,Maharashtra,Wholesale,131,14.22,168.04
Bihar,50,Large,Cheese,Passion Cheese,32.79,918.3,30111.057,30,Refrigerated,337,36.97,12458.89,Karnataka,Wholesale,581,55.6,185.84
Delhi,41,Large,Lassi,Raj,46.4,997.53,46285.392,15,Refrigerated,563,41.85,23561.55,Gujarat,Retail,434,81.48,165.15
Jharkhand,55,Medium,Cheese,Amul,67.85,217.77,14775.6945,66,Refrigerated,26,69.12,1797.12,Haryana,Retail,191,20.59,170.76
Maharashtra,27,Small,Yogurt,Mother Dairy,69.79,774.58,54057.9382,24,Frozen,747,66.86,49944.42,Kerala,Wholesale,27,70.39,56.35
Karnataka,95,Large,Ghee,Raj,35.37,114.7,4056.939,106,Ambient,27,35.58,960.66,West Bengal,Wholesale,87,25.37,121.32
Jharkhand,19,Large,Ghee,Mother Dairy,19.68,590.08,11612.7744,97,Ambient,580,20.08,11646.4,Delhi,Wholesale,10,72.09,125.48
Gujarat,91,Small,Lassi,Raj,43.87,986.15,43262.4005,14,Refrigerated,925,46.95,43428.75,Kerala,Retail,61,39.39,148.65
Jharkhand,91,Large,Butter,Amul,11.66,911.62,10629.4892,26,Frozen,133,14.3,1901.9,Tamil Nadu,Retail,778,60.15,65.33
Kerala,57,Medium,Butter,Warana,69.42,966.19,67072.9098,38,Frozen,649,72.95,47344.55,Karnataka,Retail,317,14.14,23.95
Tamil Nadu,80,Small,Milk,Raj,72.95,114.61,8360.7995,25,Tetra Pack,84,68.39,5744.76,Tamil Nadu,Retail,30,17.84,62.59
Uttar Pradesh,32,Medium,Milk,Mother Dairy,73.44,726.83,53378.3952,1,Polythene Packet,494,69.65,34407.1,Madhya Pradesh,Retail,232,97.52,110.8
Maharashtra,90,Large,Lassi,Sudha,61.26,373.85,22902.051,12,Refrigerated,28,65.03,1820.84,Uttar Pradesh,Online,345,84.31,189.02
Telangana,90,Medium,Curd,Amul,26.93,33.85,911.5805,5,Refrigerated,17,24.13,410.21,Gujarat,Online,16,80.1,108.03
Uttar Pradesh,89,Small,Curd,Amul,80.27,901.97,72401.1319,6,Refrigerated,328,76.24,25006.72,Kerala,Retail,573,16.8,179.1
Delhi,31,Large,Yogurt,Amul,45.23,352.65,15950.3595,23,Frozen,234,41.18,9636.12,Telangana,Online,118,78.57,100.84
Delhi,23,Large,Ice Cream,Mother Dairy,36.58,630.45,23061.861,29,Frozen,230,36.82,8468.6,Chandigarh,Online,400,15.5,80.14
Haryana,54,Small,Buttermilk,Amul,67.79,51.73,3506.7767,14,Refrigerated,40,63.62,2544.8,Karnataka,Online,11,59.32,185.04
Telangana,84,Large,Buttermilk,Raj,34.98,804.18,28130.2164,13,Refrigerated,237,39.38,9333.06,Telangana,Wholesale,567,93.99,98.56
Rajasthan,85,Medium,Yogurt,Dodla Dairy,76.37,892.27,68142.6599,25,Refrigerated,112,75.05,8405.6,Madhya Pradesh,Wholesale,780,79.74,48.46
Tamil Nadu,65,Large,Curd,Amul,59.28,882.33,52304.5224,7,Refrigerated,539,54.83,29553.37,Tamil Nadu,Retail,343,70.76,76.46
Tamil Nadu,57,Small,Ghee,Raj,28.47,37.35,1063.3545,132,Ambient,29,23.57,683.53,Karnataka,Online,8,80.6,20.21
Madhya Pradesh,26,Medium,Paneer,Sudha,71.27,997.79,71112.4933,14,Refrigerated,97,67.59,6556.23,Telangana,Wholesale,900,89.85,172.02
Rajasthan,55,Large,Ice Cream,Amul,33.96,68.79,2336.1084,22,Frozen,1,36.51,36.51,Madhya Pradesh,Wholesale,67,21.06,125.6
Delhi,72,Large,Lassi,Raj,12.59,235.59,2966.0781,12,Refrigerated,203,17.12,3475.36,Bihar,Wholesale,32,92.82,93.19
Chandigarh,73,Small,Butter,Mother Dairy,22.14,619.12,13707.3168,32,Refrigerated,333,26.28,8751.24,Maharashtra,Retail,286,48.44,90.08
Rajasthan,96,Small,Ice Cream,Mother Dairy,80.54,689.83,55558.9082,25,Frozen,283,85.53,24204.99,Kerala,Online,406,19.92,59.9
Tamil Nadu,29,Medium,Yogurt,Palle2patnam,26.16,618.75,16186.5,22,Frozen,305,21.98,6703.9,Tamil Nadu,Wholesale,313,58.33,122.13
Uttar Pradesh,35,Medium,Cheese,Dynamix Dairies,67.27,736.8,49564.536,63,Refrigerated,431,64.41,27760.71,Haryana,Wholesale,305,59,192.23
Jharkhand,30,Large,Milk,Raj,30.03,873.12,26219.7936,26,Tetra Pack,89,26.76,2381.64,Delhi,Online,784,54.16,119.15
Tamil Nadu,18,Small,Ghee,Mother Dairy,38.08,554.64,21120.6912,128,Ambient,216,39.84,8605.44,Uttar Pradesh,Online,338,67.07,75.98
Gujarat,74,Large,Paneer,Sudha,60.58,542.68,32875.5544,13,Refrigerated,393,59.72,23469.96,Madhya Pradesh,Retail,149,21.75,86.49
Karnataka,25,Small,Paneer,Raj,89.98,29.9,2690.402,11,Refrigerated,11,87.27,959.97,Maharashtra,Online,18,55.77,33.26
Uttar Pradesh,69,Small,Curd,Sudha,31.62,540.66,17095.6692,6,Refrigerated,381,29.7,11315.7,Kerala,Wholesale,159,89.44,143.37
Rajasthan,92,Small,Curd,Amul,30.17,498.79,15048.4943,7,Refrigerated,149,29.07,4331.43,Chandigarh,Wholesale,349,89.35,143.68
Haryana,88,Small,Milk,Amul,90.87,167.8,15247.986,1,Polythene Packet,154,86.5,13321,Bihar,Retail,13,77.92,137.73
Uttar Pradesh,29,Medium,Ice Cream,Palle2patnam,92.66,128.71,11926.2686,25,Frozen,100,92.79,9279,Tamil Nadu,Wholesale,28,94.84,72.69
Delhi,79,Medium,Cheese,Amul,65.87,846.53,55760.9311,33,Frozen,514,69.77,35861.78,Chandigarh,Retail,332,41.65,98.56
Madhya Pradesh,44,Small,Ghee,Amul,78.62,931.76,73254.9712,137,Ambient,461,79.17,36497.37,Jharkhand,Wholesale,470,61.19,103.43
Madhya Pradesh,58,Medium,Milk,Sudha,42.5,398.72,16945.6,24,Tetra Pack,300,41.68,12504,Rajasthan,Wholesale,98,53.78,89
Gujarat,61,Large,Curd,Amul,12.02,571.37,6867.8674,5,Refrigerated,244,11.47,2798.68,Karnataka,Wholesale,327,46.28,152.64
West Bengal,25,Large,Milk,Amul,21.98,528.11,11607.8578,2,Polythene Packet,177,25.47,4508.19,Chandigarh,Retail,351,18.29,89.61
Karnataka,22,Medium,Milk,Sudha,46.01,918.29,42250.5229,2,Polythene Packet,306,43.98,13457.88,Delhi,Wholesale,612,81.48,181.93
Maharashtra,11,Large,Curd,Raj,98.59,858.6,84649.374,6,Refrigerated,31,97.9,3034.9,Uttar Pradesh,Retail,827,47.01,129.76
Gujarat,80,Small,Ghee,Amul,75.81,598.61,45380.6241,99,Ambient,25,80.47,2011.75,Karnataka,Wholesale,573,35.17,25.85
Delhi,31,Small,Ice Cream,Amul,22.25,470.57,10470.1825,30,Frozen,309,19.94,6161.46,Haryana,Online,161,29.15,79.53
Haryana,25,Large,Butter,Warana,15.61,884.43,13805.9523,34,Refrigerated,104,14.45,1502.8,Rajasthan,Retail,780,96.91,146.91
Chandigarh,100,Small,Ice Cream,Dodla Dairy,18.56,673.03,12491.4368,25,Frozen,643,20.27,13033.61,Uttar Pradesh,Wholesale,30,27.12,67.53
Chandigarh,19,Large,Butter,Parag Milk Foods,81.72,431.76,35283.4272,29,Frozen,193,81.27,15685.11,Tamil Nadu,Retail,238,88.69,96.13
Gujarat,60,Small,Buttermilk,Sudha,92.04,767.8,70668.312,14,Refrigerated,42,89.14,3743.88,Gujarat,Online,725,19.2,198.07
Maharashtra,77,Large,Paneer,Sudha,77.6,372.36,28895.136,10,Refrigerated,47,74.07,3481.29,Chandigarh,Wholesale,325,67.7,32.37
Karnataka,92,Large,Ice Cream,Amul,45.86,808.62,37083.3132,25,Frozen,110,49.29,5421.9,Tamil Nadu,Wholesale,698,53.08,138.81
Bihar,33,Large,Cheese,Britannia Industries,88.6,345.82,30639.652,81,Refrigerated,100,85.77,8577,Telangana,Online,245,19.63,72.18
